column,source,missing_pct,action,n_filled
HEADLINE_CPI_USA,"raw panel (FRED/OECD, 2002)",0.3,time-interpolated interior,1
SPREAD_BAA_AAA_USA,"raw panel (FRED/OECD, 2002)",0.0,clean,0
IRSTCI_USA,"raw panel (FRED/OECD, 2002)",0.0,clean,0
SPREAD_10Y3M_USA,"raw panel (FRED/OECD, 2002)",0.3,time-interpolated interior,1
SPREAD_10Y2Y_USA,"raw panel (FRED/OECD, 2002)",0.0,clean,0
DIV_YIELD_USA,"raw panel (FRED/OECD, 2002)",0.0,clean,0
INFLATION_ACCEL,derived: ΔHEADLINE_CPI (T − T-1),0.0,derived; first month NaN (no prior period),0
EXCESS_DIV_YIELD,derived: DIV_YIELD − (IRSTCI + SPREAD_10Y3M),0.0,clean,0
LOG_VIX,yfinance ^VIX,0.0,log(month-end ^VIX) via yfinance,0
PMI_CHANGE,macro_data/processed/pmi/PMI_Composite_US.csv,0.3,month-over-month change in composite PMI,0
HY_SPREAD_USA,high-yield credit spread (to replace Baa−Aaa),100.0,PENDING — external source required,0
EARNINGS_YIELD_PREMIUM,S&P 500 earnings/price ratio,100.0,PENDING — external source required,0
