,HEADLINE_CPI_USA,CREDIT_SPRD_Baa_Aaa,IRSTCI_USA,SPREAD_10Y3M_USA,SPREAD_10Y2Y_USA,Div_Yield
2002-01,1.142204,1.3228571428571427,1.73,3.3,2.0119047619047623, 1.38%
2002-02,1.137656,1.3821052631578947,1.74,3.09,1.8947368421052633, 1.43%
2002-03,1.475596,1.2955,1.73,3.37,1.7225000000000001, 1.36%
2002-04,1.639344,1.2713636363636363,1.75,3.34,1.7872727272727276, 1.42%
2002-05,1.181767,1.3345454545454545,1.75,3.34,1.895909090909091, 1.48%
2002-06,1.067416,1.3219999999999998,1.75,3.1199999999999997,1.9369999999999998, 1.58%
2002-07,1.464789,1.3640909090909088,1.73,2.8600000000000003,2.0931818181818187, 1.77%
2002-08,1.802817,1.2168181818181822,1.74,2.53,2.1263636363636365, 1.74%
2002-09,1.514302,1.2414999999999998,1.75,2.1100000000000003,1.8655000000000004, 1.82%
2002-10,2.025886,1.4118181818181816,1.75,2.21,2.0281818181818183, 1.86%
2002-11,2.198422,1.3110526315789475,1.34,2.66,2.126842105263158, 1.76%
2002-12,2.8,1.234285714285714,1.24,2.6900000000000004,2.1938095238095237, 1.79%
2003-01,2.4,1.1742857142857144,1.24,2.76,2.3066666666666666, 1.80%
2003-02,3.1,1.1057894736842107,1.26,2.63,2.2721052631578944, 1.93%
2003-03,3.2,1.0628571428571432,1.25,2.58,2.236190476190476, 1.92%
2003-04,2.3,1.108095238095238,1.26,2.7199999999999998,2.3376190476190475, 1.82%
2003-05,2.0,1.1604761904761907,1.26,2.3499999999999996,2.1547619047619047, 1.73%
2003-06,2.1,1.224761904761905,1.22,2.29,2.102857142857143, 1.64%
2003-07,2.1,1.1240909090909095,1.01,2.9299999999999997,2.505909090909091, 1.64%
2003-08,2.2,1.1323809523809523,1.03,3.37,2.585714285714286, 1.66%
2003-09,2.4,1.0738095238095235,1.01,3.1899999999999995,2.5638095238095238, 1.63%
2003-10,2.0,1.0349999999999997,1.01,3.19,2.542272727272727, 1.62%
2003-11,1.7,1.0094444444444444,1.0,3.1899999999999995,2.373333333333333, 1.63%
2003-12,1.8,0.9768181818181818,0.98,3.1699999999999995,2.3627272727272723, 1.61%
2004-01,2.0,0.9060000000000001,1.0,3.0900000000000003,2.3890000000000002, 1.55%
2004-02,1.6,0.7647368421052629,1.01,3.0300000000000002,2.34, 1.56%
2004-03,1.5,0.7886956521739128,1.0,2.7800000000000002,2.252173913043478, 1.60%
2004-04,2.1,0.7280952380952379,1.0,3.2699999999999996,2.2790476190476188, 1.61%
2004-05,3.1,0.7094999999999998,1.0,3.5199999999999996,2.1864999999999997, 1.67%
2004-06,3.4,0.7690476190476188,1.03,3.2700000000000005,1.9666666666666672, 1.64%
2004-07,3.0,0.7995238095238093,1.26,2.9299999999999997,1.8614285714285717, 1.70%
2004-08,2.6,0.8149999999999997,1.43,2.6000000000000005,1.771818181818182, 1.74%
2004-09,2.4,0.8095238095238095,1.61,2.2699999999999996,1.6047619047619044, 1.71%
2004-10,3.4,0.7369999999999997,1.76,2.0599999999999996,1.5154999999999998, 1.72%
2004-11,3.9,0.6875,1.93,1.9300000000000006,1.3380000000000005, 1.66%
2004-12,3.5,0.6840909090909091,2.16,1.7800000000000002,1.2181818181818183, 1.62%
2005-01,3.1,0.6600000000000001,2.28,1.6099999999999999,0.9974999999999996, 1.67%
2005-02,3.0,0.6163157894736839,2.5,1.4,0.7852631578947364, 1.66%
2005-03,3.2,0.6590909090909091,2.63,1.5299999999999998,0.7731818181818184, 1.69%
2005-04,3.8,0.7219047619047616,2.79,1.25,0.6861904761904758, 1.76%
2005-05,3.0,0.8538095238095238,3.0,0.9199999999999995,0.49619047619047585, 1.76%
2005-06,2.6,0.8981818181818183,3.04,0.6200000000000001,0.3595454545454544, 1.74%
2005-07,3.4,0.8955,3.26,0.6099999999999999,0.3089999999999997, 1.73%
