Asset,First Month,Last Month,Total Months,Missing Months,Interior Gaps,OK
SPY,2002-02-28,2026-05-31,292,1,0,✓
VXF,2002-02-28,2026-05-31,292,1,0,✓
EWC,2002-02-28,2026-05-31,292,1,0,✓
EFA,2002-02-28,2026-05-31,292,1,0,✓
VWO,2005-04-30,2026-05-31,254,39,0,⚠ CHECK
AGG,2003-10-31,2026-05-31,272,21,0,⚠ CHECK
EMB,2008-01-31,2026-05-31,221,72,0,⚠ CHECK
DBC,2006-03-31,2026-05-31,243,50,0,⚠ CHECK
INTL_BOND,2002-02-28,2026-05-31,289,4,3,⚠ CHECK
SPLICE NOTE,2002-02-28,2013-07-31,289,0,0,"PFORX is an actively-managed USD-hedged fund; BNDX is a passive USD-hedged index. Both are USD-hedged (no FX mismatch at the join), but the active/passive switch should be flagged in the methodology note."
