date,PMI_US,PMI_NM_US,PMI_Composite_US,source
2006-10-01,,54.9,54.9,nonmanufacturing_only
2006-11-01,,54.5,54.5,nonmanufacturing_only
2006-12-01,,53.7,53.7,nonmanufacturing_only
2007-01-01,49.5,55.6,54.38,both
2007-02-01,51.9,54.2,53.74,both
2007-03-01,50.7,52.0,51.74,both
2007-04-01,52.6,53.3,53.16,both
2007-05-01,52.5,54.2,53.86,both
2007-06-01,52.6,55.3,54.76,both
2007-07-01,52.4,53.6,53.36,both
2007-08-01,50.9,52.8,52.42,both
2007-09-01,51.0,52.5,52.2,both
2007-10-01,51.1,53.5,53.02,both
2007-11-01,50.5,52.7,52.26,both
2007-12-01,49.0,52.5,51.8,both
2008-01-01,50.3,45.0,46.06,both
2008-02-01,48.3,49.3,49.1,both
2008-03-01,48.6,49.6,49.4,both
2008-04-01,48.6,52.0,51.32,both
2008-05-01,49.6,51.7,51.28,both
2008-06-01,50.2,48.2,48.6,both
2008-07-01,50.0,49.5,49.6,both
2008-08-01,49.9,50.6,50.46,both
2008-09-01,43.5,50.2,48.86,both
2008-10-01,38.9,44.4,43.3,both
2008-11-01,36.2,37.3,37.08,both
2008-12-01,32.4,40.6,38.96,both
2009-01-01,35.6,42.9,41.44,both
2009-02-01,35.8,41.6,40.44,both
2009-03-01,36.3,40.8,39.9,both
2009-04-01,40.1,43.7,42.98,both
2009-05-01,42.8,44.0,43.76,both
2009-06-01,44.8,47.0,46.56,both
2009-07-01,48.9,46.4,46.9,both
2009-08-01,52.9,48.4,49.3,both
2009-09-01,52.6,50.9,51.24,both
2009-10-01,55.7,50.6,51.62,both
2009-11-01,53.6,48.7,49.68,both
2009-12-01,55.9,50.1,51.26,both
2010-01-01,58.4,50.5,52.08,both
2010-02-01,56.5,53.0,53.7,both
2010-03-01,59.6,55.4,56.24,both
2010-04-01,60.4,55.4,56.4,both
2010-05-01,59.7,55.4,56.26,both
2010-06-01,56.2,53.8,54.28,both
2010-07-01,55.5,54.3,54.54,both
2010-08-01,56.3,51.5,52.46,both
2010-09-01,54.4,53.2,53.44,both
2010-10-01,56.9,54.3,54.82,both
2010-11-01,56.6,55.0,55.32,both
2010-12-01,57.0,57.1,57.08,both
2011-01-01,60.8,59.4,59.68,both
2011-02-01,61.4,59.7,60.04,both
2011-03-01,61.2,57.3,58.08,both
2011-04-01,60.4,52.8,54.32,both
2011-05-01,53.5,54.6,54.38,both
2011-06-01,55.3,53.3,53.7,both
2011-07-01,50.9,52.7,52.34,both
