Month,HEADLINE_CPI_USA,IR3TIB_USA,IRLT_USA,IRSTCI_USA,CORE_CPI_USA,DGS2_USA,DIV_YIELD_USA,CREDIT_SPREAD_BAA_USA,CREDIT_SPREAD_AAA_USA,HY_SPREAD_USA,SPREAD_10Y3M_USA,SPREAD_10Y2Y_USA,SPREAD_BAA_AAA_USA
2013-01,1.5,0.23,1.91,0.14,232.229,0.2652380952380953,142.69799999999998,,,,1.68,1.6447619047619046,
2013-01,1.5,0.23,1.91,0.14,232.229,0.2652380952380953,142.69799999999998,2.85,1.91,,1.68,1.6447619047619046,0.9400000000000002
2013-01,1.5,0.23,1.91,0.14,232.229,0.2652380952380953,142.69799999999998,2.84,1.89,,1.68,1.6447619047619046,0.95
2013-01,1.5,0.23,1.91,0.14,232.229,0.2652380952380953,142.69799999999998,2.81,1.88,,1.68,1.6447619047619046,0.9300000000000002
2013-01,1.5,0.23,1.91,0.14,232.229,0.2652380952380953,142.69799999999998,2.8,1.88,,1.68,1.6447619047619046,0.92
2013-01,1.5,0.23,1.91,0.14,232.229,0.2652380952380953,142.69799999999998,2.81,1.88,,1.68,1.6447619047619046,0.9300000000000002
2013-01,1.5,0.23,1.91,0.14,232.229,0.2652380952380953,142.69799999999998,2.81,1.87,,1.68,1.6447619047619046,0.94
2013-01,1.5,0.23,1.91,0.14,232.229,0.2652380952380953,142.69799999999998,2.8,1.87,,1.68,1.6447619047619046,0.9299999999999996
2013-01,1.5,0.23,1.91,0.14,232.229,0.2652380952380953,142.69799999999998,2.8,1.88,,1.68,1.6447619047619046,0.92
2013-01,1.5,0.23,1.91,0.14,232.229,0.2652380952380953,142.69799999999998,2.8,1.87,,1.68,1.6447619047619046,0.9299999999999996
2013-01,1.5,0.23,1.91,0.14,232.229,0.2652380952380953,142.69799999999998,2.81,1.88,,1.68,1.6447619047619046,0.9300000000000002
2013-01,1.5,0.23,1.91,0.14,232.229,0.2652380952380953,142.69799999999998,2.84,1.9,,1.68,1.6447619047619046,0.94
2013-01,1.5,0.23,1.91,0.14,232.229,0.2652380952380953,142.69799999999998,2.84,1.9,,1.68,1.6447619047619046,0.94
2013-01,1.5,0.23,1.91,0.14,232.229,0.2652380952380953,142.69799999999998,2.82,1.88,,1.68,1.6447619047619046,0.94
2013-01,1.5,0.23,1.91,0.14,232.229,0.2652380952380953,142.69799999999998,,,,1.68,1.6447619047619046,
2013-01,1.5,0.23,1.91,0.14,232.229,0.2652380952380953,142.69799999999998,2.82,1.88,,1.68,1.6447619047619046,0.94
2013-01,1.5,0.23,1.91,0.14,232.229,0.2652380952380953,142.69799999999998,2.83,1.89,,1.68,1.6447619047619046,0.9400000000000002
2013-01,1.5,0.23,1.91,0.14,232.229,0.2652380952380953,142.69799999999998,2.82,1.88,,1.68,1.6447619047619046,0.94
2013-01,1.5,0.23,1.91,0.14,232.229,0.2652380952380953,142.69799999999998,2.82,1.87,,1.68,1.6447619047619046,0.9499999999999996
2013-01,1.5,0.23,1.91,0.14,232.229,0.2652380952380953,142.69799999999998,2.82,1.87,,1.68,1.6447619047619046,0.9499999999999996
2013-01,1.5,0.23,1.91,0.14,232.229,0.2652380952380953,142.69799999999998,2.81,1.88,,1.68,1.6447619047619046,0.9300000000000002
2013-01,1.5,0.23,1.91,0.14,232.229,0.2652380952380953,142.69799999999998,2.84,1.9,,1.68,1.6447619047619046,0.94
2013-01,1.5,0.23,1.91,0.14,232.229,0.2652380952380953,142.69799999999998,2.82,1.88,,1.68,1.6447619047619046,0.94
2013-02,2.0,0.22,1.98,0.15,232.569,0.2673684210526316,142.69799999999998,2.84,1.89,,1.76,1.7126315789473685,0.95
2013-02,2.0,0.22,1.98,0.15,232.569,0.2673684210526316,142.69799999999998,2.85,1.9,,1.76,1.7126315789473685,0.9500000000000002
2013-02,2.0,0.22,1.98,0.15,232.569,0.2673684210526316,142.69799999999998,2.85,1.9,,1.76,1.7126315789473685,0.9500000000000002
2013-02,2.0,0.22,1.98,0.15,232.569,0.2673684210526316,142.69799999999998,2.86,1.9,,1.76,1.7126315789473685,0.96
2013-02,2.0,0.22,1.98,0.15,232.569,0.2673684210526316,142.69799999999998,2.85,1.89,,1.76,1.7126315789473685,0.9600000000000002
